Date,Price,Open,High,Low,Vol.,Change %
1/12/2024,"27,150.00","27,700.00","27,700.00","27,050.00",28.63M,-1.27%
1/11/2024,"27,500.00","27,450.00","27,650.00","27,400.00",15.26M,0.55%
1/10/2024,"27,350.00","27,700.00","27,750.00","27,250.00",32.64M,-1.26%
1/9/2024,"27,700.00","27,900.00","27,950.00","27,500.00",28.62M,-0.54%
1/8/2024,"27,850.00","27,950.00","28,250.00","27,850.00",31.24M,0.18%
1/5/2024,"27,800.00","27,750.00","27,900.00","27,550.00",17.33M,0.18%
1/4/2024,"27,750.00","27,800.00","28,100.00","27,700.00",38.54M,-0.18%
1/3/2024,"27,800.00","27,400.00","27,800.00","27,400.00",18.58M,1.28%
1/2/2024,"27,450.00","28,100.00","28,150.00","27,450.00",22.19M,-1.79%
12/29/2023,"27,950.00","27,950.00","28,100.00","27,800.00",20.47M,0.00%
12/28/2023,"27,950.00","27,750.00","28,200.00","27,650.00",31.31M,0.72%
12/27/2023,"27,750.00","27,850.00","28,000.00","27,750.00",19.85M,-0.18%
12/26/2023,"27,800.00","27,400.00","27,900.00","27,400.00",33.74M,1.28%
12/25/2023,"27,450.00","27,150.00","27,600.00","27,150.00",20.41M,1.48%
12/22/2023,"27,050.00","27,200.00","27,350.00","27,050.00",17.43M,-0.55%
12/21/2023,"27,200.00","27,100.00","27,300.00","26,950.00",14.31M,0.00%
12/20/2023,"27,200.00","27,200.00","27,350.00","27,100.00",17.66M,0.00%
12/19/2023,"27,200.00","26,600.00","27,200.00","26,550.00",20.50M,2.26%
12/18/2023,"26,600.00","26,900.00","27,000.00","26,600.00",14.88M,-0.75%
12/15/2023,"26,800.00","27,100.00","27,200.00","26,750.00",34.69M,-0.92%
12/14/2023,"27,050.00","27,550.00","27,550.00","27,050.00",31.78M,-1.10%
12/13/2023,"27,350.00","28,100.00","28,200.00","27,300.00",33.35M,-2.15%
12/12/2023,"27,950.00","27,500.00","28,200.00","27,500.00",31.68M,1.64%
12/11/2023,"27,500.00","27,700.00","27,800.00","27,300.00",17.85M,-0.72%
12/8/2023,"27,700.00","27,800.00","28,250.00","27,500.00",52.78M,0.36%
12/7/2023,"27,600.00","27,650.00","27,900.00","26,950.00",49.43M,0.00%
12/6/2023,"27,600.00","27,250.00","27,600.00","27,200.00",18.65M,1.28%
12/5/2023,"27,250.00","27,500.00","27,550.00","27,150.00",22.51M,-0.91%
12/4/2023,"27,500.00","27,200.00","27,750.00","27,050.00",42.34M,2.23%
12/1/2023,"26,900.00","26,800.00","27,100.00","26,450.00",15.40M,1.32%
11/30/2023,"26,550.00","27,100.00","27,200.00","26,550.00",21.21M,-1.67%
11/29/2023,"27,000.00","26,700.00","27,100.00","26,650.00",22.50M,1.12%
11/28/2023,"26,700.00","26,400.00","26,700.00","26,050.00",18.86M,1.52%
11/27/2023,"26,300.00","26,500.00","26,750.00","26,200.00",16.72M,-0.38%
11/24/2023,"26,400.00","26,000.00","26,400.00","25,550.00",26.23M,2.13%
